Gene,P_all,P_sub,P_vis,P_status,P_location,P_interaction
ISG15,0.510758799435937,0.578270342214328,0.792666067868184,0.565944710104728,0.00412662012140099,0.845186992877625
B3GALT6,0.52331673803714,0.769439884775825,0.572320853334163,0.524672869961334,0.886409846254708,0.82039459384299
SKI,0.704984565682143,0.824408410900069,0.453622813236091,0.475384390357363,2.44536198278901e-05,0.713970121666931
TP73,0.223597430657296,0.8323511300362,0.105086075837664,0.211651762791702,0.420052087899348,0.386408392941316
AJAP1,0.184087351314777,0.200548368491408,0.333852745133128,0.16417839891219,0.000111389804367194,0.710956383123478
KCNAB2,0.492539827586841,0.349931573014885,0.687510716036744,0.518032095347306,1.26166785365847e-06,0.289142748625461
HES3,0.615985330391346,0.119778351042701,0.724482953593375,0.550188038380984,0.0964387182255647,0.224859251991376
ZBTB48,0.854311163152429,0.994616532507595,0.752003048419496,0.819370642805772,0.366772731132478,0.837982781137891
VAMP3,0.52128856220349,0.615704913095049,0.631676397451359,0.497610833048647,0.415771825852298,0.893007886343956
PER3,0.112736100514973,0.0703539256692602,0.53138603423019,0.124097838677141,0.421390112764154,0.581717831817678
H6PD,0.300615285416947,0.44740153027185,0.48262896206169,0.328148908923025,0.0248552507921662,0.792210497798966
SPSB1,0.678108639893846,0.762591104526469,0.967506948408552,0.776086322612471,4.8594307151362e-11,0.80112773303473
NMNAT1,0.375411470488607,0.843093028032443,0.276395348987331,0.365758027156129,0.578919917779189,0.574535951325186
RBP7,0.864609688005664,0.551845240679042,0.852687360553507,0.758317879552864,0.0157401017123103,0.562617158360849
UBE4B,0.433775723896891,0.157401536766702,0.701437191624915,0.465399003639756,0.284194537426174,0.186856072978877
KIF1B,0.893205739963433,0.914363835334491,0.807139504495464,0.903190531146908,0.83024685082875,0.800634625098304
PGD,0.278773752879339,0.14087181311544,0.906027245840239,0.296102541266618,0.586592127030925,0.20718899051377
MTOR-AS1,0.110683422886324,0.271509632826181,0.294992670566828,0.121567238815273,0.47124173196883,0.941239610928964
ANGPTL7,0.203769661649428,0.0564540237290638,0.301131914934518,0.0388625003736632,2.80917890990836e-07,0.556979254638537
UBIAD1,0.553041036619583,0.201726594546403,0.899105827019154,0.371424175093326,0.000303553898774526,0.464137569672494
AGTRAP,0.605161142538082,0.929942510526532,0.529998390758128,0.595978879993282,0.692808300619507,0.562549290490412
RNU5E-1,0.736208350547726,0.885933260132928,0.532987936191904,0.71224775913172,0.488411437695514,0.587252934708824
MFN2,0.620970039900684,0.79349753203153,0.726086910546479,0.657252857956116,0.316816278694552,0.885840985856315
PDPN,0.539302635351223,0.436398762253147,0.834682775611905,0.597143865734382,9.11816532220678e-05,0.8664955294813
TMEM51,0.406435736832924,0.371058072420479,0.839753746259903,0.441118295353183,0.166681006934011,0.614920446673123
EFHD2,0.848091933341963,0.990358969145329,0.823078210760407,0.866053929174232,0.682232448873763,0.887999168664624
CTRC,0.592025232723977,0.457518863625464,0.279939684959025,0.661622005901427,0.00247353793755863,0.193589707262667
PADI4,0.705978574442669,0.503705324961197,0.781340953898438,0.502114912207891,0.000104652484706406,0.77453416357379
ARHGEF10L,0.503023306938919,0.731803161592677,0.508885615797601,0.450069587810821,0.135632725826938,0.734180386933784
IGSF21,0.157361110078044,0.330882612652049,0.336806439866896,0.164660371326052,0.935793566331322,0.971967018149169
MRTO4,0.430791252390258,0.538054529234929,0.674985205488974,0.446981711740129,1.05190208685009e-05,0.728181524262339
PQLC2,0.461317992898035,0.45154509418035,0.866879289647307,0.508655648994153,0.00586721900347561,0.654765060020262
OTUD3,0.036778082374003,0.283975350546686,0.0482699060677407,0.0412932002216116,0.235375391073757,0.897613141479916
CDA,0.58305045071102,0.952339596153947,0.524397926538641,0.652554372557564,0.000972428600909099,0.615249010916387
LOC100506801,0.434038641795335,0.0404975778985385,0.562090958783474,0.475204094680007,0.0669799036031702,0.0866920906865327
ALPL,0.904381251370674,0.892461769920988,0.843127892569514,0.809814642915119,0.027374091970545,0.973219300825191
LINC00339,0.484001370956251,0.680966590996238,0.632084117680306,0.521946170674163,0.192438855339991,0.992913490259142
C1QA,0.741914095568517,0.658710061951034,0.447170655042809,0.623607084712375,0.00968402482424958,0.389917235352506
C1QC,0.785694408036721,0.873664813301312,0.485048775316344,0.638662208658211,0.0020462973663082,0.525058140871786
C1QB,0.773969575941889,0.828377561399896,0.636570292586781,0.600483203103455,0.000485733739629292,0.801627276039545
EPHB2,0.101789203771466,0.183661132019407,0.323577236166002,0.0955882594674081,0.00251504734682808,0.762741774548216
PITHD1,0.314411650453796,0.218715164866453,0.661104682264114,0.343861953212849,0.118895777286763,0.8505415041653
RCAN3,0.503912379612165,0.953927816058252,0.423706085816931,0.529575406362926,5.62609707782483e-07,0.609133674558462
MACO1,0.605767332827724,0.253831230635709,0.911271143085362,0.627617647663673,0.612667014019357,0.48401696771695
LDLRAP1,0.74815833496701,0.374585711830534,0.15284675063288,0.807190476097363,0.0973863792873677,0.108917841198912
