Gene	t_all	t_sub	t_vis	t_status	t_location	t_interaction
ISG15	0.6639	0.5668	0.2666	0.5792	3.058	-0.1967
B3GALT6	0.6442	0.2978	0.5746	0.6422	-0.1438	0.2287
SKI	-0.3815	-0.2253	-0.7651	-0.7211	4.822	-0.3694
TP73	-1.237	-0.215	-1.702	-1.271	0.8154	-0.8768
AJAP1	1.353	1.332	0.9916	1.419	4.323	0.3735
KCNAB2	-0.693	-0.9612	0.4084	-0.6526	-5.776	1.076
HES3	-0.5057	-1.638	0.3577	-0.603	1.706	1.235
ZBTB48	-0.1849	-0.006847	-0.3206	-0.23	0.9137	-0.206
VAMP3	-0.6474	-0.5113	-0.4872	-0.685	0.823	-0.1355
PER3	1.624	1.931	0.6375	1.574	0.8131	-0.5559
H6PD	-1.049	-0.7778	-0.7161	-0.9909	-2.339	-0.2654
SPSB1	-0.4183	-0.307	-0.04128	-0.2865	-9.151	0.2538
NMNAT1	0.8969	0.201	1.121	0.9157	-0.5599	0.5665
RBP7	0.1717	0.607	-0.1882	0.31	-2.531	-0.5844
UBE4B	-0.7911	-1.479	0.3892	-0.7376	-1.087	1.346
KIF1B	0.1352	-0.1091	0.2475	0.1225	0.2159	0.2544
PGD	-1.099	-1.545	0.1196	-1.06	-0.5486	1.284
MTOR-AS1	-1.633	-1.137	-1.077	-1.585	-0.7279	0.07423
ANGPTL7	-1.293	-2.047	-1.063	-2.142	6.258	0.5929
UBIAD1	0.5985	1.328	0.1285	0.9048	-3.986	-0.7399
AGTRAP	-0.5213	0.08923	-0.6397	-0.5348	0.3981	-0.5845
RNU5E-1	-0.3394	0.1456	-0.635	-0.3717	0.6998	-0.5477
MFN2	-0.4986	-0.2659	-0.3556	-0.4473	-1.015	-0.1446
PDPN	0.6195	0.7971	0.2116	0.5331	4.39	-0.1693
TMEM51	-0.8395	-0.9188	-0.205	-0.7787	-1.411	0.5075
EFHD2	0.1929	0.01226	0.2267	0.1698	0.4127	0.1418
CTRC	0.5405	-0.7603	1.112	0.4412	3.248	1.325
PADI4	-0.3801	-0.6832	-0.2815	-0.6778	4.344	0.2886
ARHGEF10L	-0.6762	-0.3484	-0.6733	-0.7634	1.526	-0.3422
IGSF21	-1.442	-1.001	-0.9854	-1.418	-0.08111	-0.03539
MRTO4	-0.7963	-0.6285	-0.4259	-0.7686	-5.095	0.3503
PQLC2	-0.7442	-0.7706	-0.1699	-0.6674	-2.924	0.4509
OTUD3	2.164	1.106	2.111	2.114	1.206	0.1296
CDA	0.5537	-0.06066	0.6485	0.4539	3.584	0.507
LOC100506801	0.7907	2.218	-0.5901	0.7214	1.887	-1.761
ALPL	-0.1209	-0.1372	-0.2006	-0.2424	2.297	-0.03381
LINC00339	-0.7068	-0.4183	-0.4866	-0.6465	-1.328	0.008944
C1QA	-0.3317	0.4496	-0.7762	-0.4949	2.728	-0.8703
C1QC	-0.2738	0.1614	-0.7121	-0.4735	3.317	-0.6418
C1QB	-0.2892	-0.2201	-0.4802	-0.5282	3.825	-0.2531
EPHB2	-1.677	-1.386	-1.013	-1.71	-3.242	0.3042
PITHD1	-1.02	-1.277	-0.4453	-0.9588	-1.596	0.1898
RCAN3	-0.6748	-0.05863	-0.8176	-0.6346	-6.035	-0.5158
MACO1	-0.5205	-1.181	0.1129	-0.4892	-0.5106	0.7072
LDLRAP1	-0.3234	0.9119	-1.489	-0.2458	-1.701	-1.644
MAN1C1	0.3156	-0.2506	0.3217	0.1635	4.405	0.3944
PDIK1L	1.582	-0.003438	2.342	1.647	-1.18	1.604
FAM110D	1.941	0.4661	2.96	2.239	-2.762	1.448
CATSPER4	-0.53	-1.208	0.1345	-0.688	2.478	0.9262
CEP85	-1.504	-2.335	0.2295	-1.504	-3.024	1.953
SH3BGRL3	-0.02301	-0.8022	1.071	0.1913	-4.378	1.317
CD52	0.7819	0.01549	1.429	0.9948	-2.862	0.9215
DHDDS	-0.06237	0.1644	-0.09517	0.02561	-1.792	-0.1772
RPS6KA1	-0.4359	-1.22	0.2823	-0.4956	1.163	0.9759
ZDHHC18	0.05216	-0.7235	0.5117	-0.07116	2.534	0.8608
TMEM222	-1.237	0.7742	-2.206	-1.216	-0.06084	-2.158
SYTL1	-0.08279	-0.3055	-0.09869	-0.2432	3.037	0.0823
GPR3	0.6444	1.084	-0.1637	0.6939	-1.002	-0.9491
FAM76A	0.6573	1.619	-0.5501	0.6679	-0.3771	-1.531
PPP1R8	0.1047	-0.6718	1.145	0.3275	-4.062	1.268
SCARNA1	0.2024	0.2712	-0.03453	0.1735	0.5341	-0.2282
THEMIS2	0.2873	0.1901	-0.09149	0.07982	7.096	-0.2064
SMPDL3B	-0.6379	-1.49	-0.2779	-1.034	4.74	0.6072
SESN2	0.4684	0.3652	0.1895	0.3914	1.795	-0.1258
MED18	-0.6799	-1.049	-0.08562	-0.6944	0.4495	0.5855
TRNAU1AP	1.701	3.212	0.4018	2.149	-3.713	-1.66
RAB42	-0.1184	-0.5387	0.7889	0.0621	-4.038	0.9092
GMEB1	1.201	1.932	0.3657	1.163	0.491	-0.5499
EPB41	0.0007939	-0.5329	0.2416	-0.1896	3.806	0.5507
ZCCHC17	-0.8104	-0.08926	-0.9436	-0.7515	-1.306	-0.585
SERINC2	0.03871	-0.2551	1.141	0.2795	-4.625	0.7228
TINAGL1	0.9296	1.037	0.408	1.046	-1.806	-0.5302
TXLNA	-1.931	-1.484	-1.166	-1.881	-1.244	0.2
EIF3I	0.1309	1.061	-0.7001	0.2589	-2.403	-1.262
AZIN2	-1.184	-2.291	0.4004	-1.32	1.928	2
ZMYM1	0.5987	-0.5625	1.495	0.654	-1.089	1.425
AGO1	-0.6024	-1.403	0.4558	-0.5119	-4.318	1.257
ADPRHL2	-0.4675	0.07854	-0.7692	-0.4439	-0.353	-0.5378
CDCA8	-0.1767	0.04683	-0.08327	0.001785	-4.292	-0.08103
UTP11	-0.1091	-0.8951	0.6857	-0.04478	-1.301	1.103
NDUFS5	0.2634	-0.08994	0.6748	0.424	-2.772	0.5251
PPIE	-0.3567	-0.4666	0.06071	-0.3272	-0.5094	0.4171
CAP1	-0.1934	0.3002	-0.286	-0.06902	-2.817	-0.4019
ZMPSTE24	-0.6005	0.0668	-0.6972	-0.52	-2.152	-0.5707
SMAP2	-0.8746	-1.776	-0.4454	-1.612	6.665	1.102
ZFP69B	-0.6966	-0.8554	-0.2774	-0.7594	1.194	0.3553
ZFP69	-0.7429	-0.4667	-0.7222	-0.8551	1.818	-0.1534
MIR30E	0.475	0.4984	0.1264	0.3841	2.351	-0.1874
PPIH	0.2831	0.8283	-0.2105	0.3529	-1.342	-0.6983
YBX1	0.1071	0.5053	-0.05642	0.2981	-3.519	-0.3941
ERMAP	0.3657	-0.3857	0.9319	0.421	-1.095	0.9253
TIE1	0.8657	0.9268	0.4005	0.9289	-1.19	-0.37
CDC20	-0.8833	-1.086	0.04516	-0.8637	-4.67	0.9594
PTPRF	-0.8969	-0.9132	-1.035	-1.336	4.584	-0.4844
KDM4A	0.4971	0.8908	0.1705	0.5842	-1.565	-0.3077
DMAP1	-0.3579	0.349	-0.5556	-0.2814	-1.691	-0.6422
RNF220	-0.1494	0.3518	-0.2714	-0.03707	-2.426	-0.4173
KIF2C	0.5332	0.565	0.3424	0.667	-2.175	-0.2865
UROD	0.3947	0.2035	0.5706	0.5056	-1.942	0.1433
TOE1	-0.6561	0.02843	-0.9349	-0.7445	1.545	-0.737
AKR1A1	-0.1463	-0.3554	0.3393	-0.04593	-2.135	0.494
TMEM69	-0.3119	-0.392	0.08093	-0.227	-1.897	0.349
MAST2	-1.151	0.2131	-1.718	-1.099	-2.359	-1.348
TSPAN1	-1.13	0.9727	-2.645	-1.321	2.435	-2.59
LURAP1	-0.4637	-0.6927	-0.203	-0.6462	2.836	0.3888
NSUN4	0.3252	0.1104	0.1046	0.1535	5.724	-0.03126
CYP4X1	0.7277	1.239	0.2402	1.045	-3.879	-0.7487
CYP4Z1	-0.2352	-0.3261	-0.1524	-0.3201	1.605	0.08642
CDKN2C	-0.7199	-1.025	0.4716	-0.6409	-3.022	1.158
MIR4421	0.4109	-0.01055	0.5412	0.374	0.6647	0.3667
MIR6500	0.01424	-0.07694	-0.1007	-0.1284	2.875	-0.02873
OSBPL9	-0.08468	-0.5226	0.1691	-0.1256	0.8274	0.4206
ZFYVE9	0.0535	0.8383	-0.7866	0.18	-2.459	-1.156
PLA2G12AP1	-0.2386	0.4504	-0.9127	-0.4048	2.888	-0.968
SHISAL2A	-0.702	-0.7539	-0.5699	-0.9081	2.864	0.001636
ZYG11B	0.3957	-0.7858	1.008	0.4363	-0.8489	1.249
SCP2	-0.1021	0.1141	-0.06133	0.02457	-2.687	-0.1208
PODN	0.3212	0.5213	0.0986	0.4782	-2.653	-0.3759
CPT2	-0.6247	-0.8151	0.03175	-0.5369	-2.884	0.6063
LRRC42	-0.5758	-0.2662	-0.6087	-0.5836	0.3075	-0.1179
MRPL37	-0.2198	0.1581	-0.23	-0.05852	-4.014	-0.2731
PRKAA2	-0.8182	-0.817	-0.2259	-0.762	-1.193	0.4862
FGGY	-1.545	-1.025	-1.078	-1.5	-1.911	0.154
PATJ	0.9781	1.107	0.3805	0.9241	2.973	-0.3166
USP1	-0.4876	-0.4337	-0.1416	-0.3778	-3.634	0.165
ALG6	1.199	0.567	1.168	1.268	-1.237	0.4502
PGM1	-0.2157	-0.6561	0.1634	-0.2218	0.1818	0.5052
ROR1	-0.5061	-1.158	0.1369	-0.5479	0.8769	0.7988
CACHD1	1.067	0.9058	0.7496	1.189	-1.816	-0.3515
RAVER2	0.3498	0.6777	-0.3523	0.3668	-0.4239	-0.779
DNAJC6	0.8948	0.005901	1.062	0.864	0.3943	0.8108
PDE4B	0.146	-0.05126	-0.05807	-0.07357	5.274	0.02188
SGIP1	0.7785	0.8755	0.6178	1.082	-3.692	-0.4755
TCTEX1D1	0.1651	-0.08317	0.7788	0.2791	-2.13	0.4114
IL23R	0.03163	0.3459	-0.2774	0.01642	0.2954	-0.4373
IL12RB2	-0.0694	0.08723	-0.7421	-0.3811	5.735	-0.4983
GADD45A	-0.0296	-0.3196	0.1832	-0.03092	0.03496	0.334
PIN1P1	-0.2243	-0.2638	-0.1074	-0.2645	0.8278	0.1203
HHLA3	-0.001132	-0.5873	0.3796	-0.1071	2.116	0.68
CTH	0.9109	0.6555	0.5795	0.8687	3.817	0.02442
TYW3	0.5279	0.2959	0.5221	0.6065	-1.437	0.2517
ST6GALNAC3	1.033	0.4917	0.8426	0.9736	2.329	0.2824
NEXN	1.371	0.7472	1.096	1.34	0.2608	0.3522
PTGFR	-0.6563	-0.3918	-1.091	-0.5706	-3.314	0.2408
IFI44L	-0.4507	0.02311	-0.8188	-0.4918	0.8618	-0.4994
IFI44	-1.33	-0.3444	-1.488	-1.38	1.016	-0.8771
